Neurog3>0_raw,Neurog3>0_scaled,cell,cell_ontology_class,cell_ontology_id,cluster.ids,free_annotation,mouse.id,mouse.sex,plate.barcode,subsetA,subsetA_cluster.ids,subsetB,subsetB_cluster.ids,subsetC,subsetC_cluster.ids,subsetD,subsetD_cluster.ids,subsetE,subsetE_cluster.ids,subtissue,tissue,tissue_tSNE_1,tissue_tSNE_2
,,O12.B001750.3_38_F.1.1,B cell,CL:0000236,2,,3_38_F,F,B001750,,,,,,,,,,,,Spleen,9.37671287284762,-24.67606585567644
,,O12.MAA000508.3_9_M.1.1,B cell,CL:0000236,0,,3_9_M,M,MAA000508,,,,,,,,,,,,Spleen,-1.0147444032714326,4.534074780771308
,,O12.MAA000559.3_8_M.1.1,B cell,CL:0000236,3,,3_8_M,M,MAA000559,,,,,,,,,,,,Spleen,-15.38842079499591,25.56302641547448
,,O12.MAA000779.3_11_M.1.1,B cell,CL:0000236,3,,3_11_M,M,MAA000779,,,,,,,,,,,,Spleen,-15.438613011165936,10.279767850084196
,,O13.B000971.3_39_F.1.1,B cell,CL:0000236,2,,3_39_F,F,B000971,,,,,,,,,,,,Spleen,6.414765643508398,-10.762499235130871
,,O13.MAA000508.3_9_M.1.1,T cell,CL:0000084,1,,3_9_M,M,MAA000508,,,,,,,,,,,,Spleen,-27.92586390755848,-8.315730126988441
,,O13.MAA000559.3_8_M.1.1,B cell,CL:0000236,0,,3_8_M,M,MAA000559,,,,,,,,,,,,Spleen,31.9458577192818,0.1011308795189045
,,O13.MAA000776.3_10_M.1.1,B cell,CL:0000236,2,,3_10_M,M,MAA000776,,,,,,,,,,,,Spleen,7.6501020392590044,-25.410113887716175
,,O14.B000971.3_39_F.1.1,B cell,CL:0000236,2,,3_39_F,F,B000971,,,,,,,,,,,,Spleen,8.055863303613975,-11.10424365642764
,,O14.MAA000508.3_9_M.1.1,T cell,CL:0000084,1,,3_9_M,M,MAA000508,,,,,,,,,,,,Spleen,-30.757834558503067,-9.326151688678456
,,O14.MAA000559.3_8_M.1.1,B cell,CL:0000236,0,,3_8_M,M,MAA000559,,,,,,,,,,,,Spleen,26.41412862350831,3.12341632312151
,,O14.MAA000776.3_10_M.1.1,T cell,CL:0000084,1,,3_10_M,M,MAA000776,,,,,,,,,,,,Spleen,-33.071497016342256,-7.013237725536637
,,O14.MAA000779.3_11_M.1.1,B cell,CL:0000236,3,,3_11_M,M,MAA000779,,,,,,,,,,,,Spleen,-6.5481614143029025,20.17609786958734
,,O15.B000971.3_39_F.1.1,B cell,CL:0000236,0,,3_39_F,F,B000971,,,,,,,,,,,,Spleen,1.1974393611246503,6.576571328792433
,,O15.B001750.3_38_F.1.1,B cell,CL:0000236,0,,3_38_F,F,B001750,,,,,,,,,,,,Spleen,18.12366713090817,-5.610729648308902
,,O15.MAA000508.3_9_M.1.1,T cell,CL:0000084,1,,3_9_M,M,MAA000508,,,,,,,,,,,,Spleen,-37.16428708658107,4.229433998783653
,,O15.MAA000559.3_8_M.1.1,B cell,CL:0000236,4,,3_8_M,M,MAA000559,,,,,,,,,,,,Spleen,-6.738451497283043,-3.480465635926107
,,O15.MAA000779.3_11_M.1.1,B cell,CL:0000236,3,,3_11_M,M,MAA000779,,,,,,,,,,,,Spleen,-6.995494487592257,23.19543089618318
,,O16.B000971.3_39_F.1.1,B cell,CL:0000236,0,,3_39_F,F,B000971,,,,,,,,,,,,Spleen,19.480055305616848,8.371433855747064
,,O16.B001750.3_38_F.1.1,B cell,CL:0000236,0,,3_38_F,F,B001750,,,,,,,,,,,,Spleen,17.721937017929065,17.307406632612526
,,O16.MAA000508.3_9_M.1.1,B cell,CL:0000236,2,,3_9_M,M,MAA000508,,,,,,,,,,,,Spleen,20.416717540694076,-15.145667060109464
,,O16.MAA000559.3_8_M.1.1,B cell,CL:0000236,0,,3_8_M,M,MAA000559,,,,,,,,,,,,Spleen,11.904623569467091,1.2407626401647716
,,O16.MAA000776.3_10_M.1.1,B cell,CL:0000236,0,,3_10_M,M,MAA000776,,,,,,,,,,,,Spleen,17.53488403505639,-5.647528572777702
,,O16.MAA000779.3_11_M.1.1,B cell,CL:0000236,4,,3_11_M,M,MAA000779,,,,,,,,,,,,Spleen,-16.006401839744903,-1.1702341849560018
,,O17.B000971.3_39_F.1.1,B cell,CL:0000236,2,,3_39_F,F,B000971,,,,,,,,,,,,Spleen,11.091182952093847,-24.62515798682113
,,O17.B001750.3_38_F.1.1,B cell,CL:0000236,2,,3_38_F,F,B001750,,,,,,,,,,,,Spleen,2.7747176994711453,-29.345315816818943
,,O17.MAA000508.3_9_M.1.1,macrophage,CL:0000235,5,,3_9_M,M,MAA000508,,,,,,,,,,,,Spleen,-16.99135584008053,-36.2051348621241
,,O17.MAA000559.3_8_M.1.1,B cell,CL:0000236,0,,3_8_M,M,MAA000559,,,,,,,,,,,,Spleen,19.558599519463577,10.32350389455804
,,O17.MAA000776.3_10_M.1.1,B cell,CL:0000236,4,,3_10_M,M,MAA000776,,,,,,,,,,,,Spleen,-14.84721609247367,-1.3059612309760618
,,O17.MAA000779.3_11_M.1.1,B cell,CL:0000236,3,,3_11_M,M,MAA000779,,,,,,,,,,,,Spleen,-0.4302256159039294,-0.1607577306275928
,,O18.B000971.3_39_F.1.1,B cell,CL:0000236,3,,3_39_F,F,B000971,,,,,,,,,,,,Spleen,-6.612461089721752,4.181936851212718
,,O18.B001750.3_38_F.1.1,B cell,CL:0000236,2,,3_38_F,F,B001750,,,,,,,,,,,,Spleen,6.1727282170676965,-16.18854519104871
,,O18.MAA000508.3_9_M.1.1,B cell,CL:0000236,0,,3_9_M,M,MAA000508,,,,,,,,,,,,Spleen,8.065697047887076,7.525330375087596
,,O18.MAA000559.3_8_M.1.1,T cell,CL:0000084,1,,3_8_M,M,MAA000559,,,,,,,,,,,,Spleen,-28.518168683727012,-9.40117456587718
,,O18.MAA000779.3_11_M.1.1,B cell,CL:0000236,3,,3_11_M,M,MAA000779,,,,,,,,,,,,Spleen,-8.174529728635651,25.95294771844292
,,O19.B000971.3_39_F.1.1,B cell,CL:0000236,0,,3_39_F,F,B000971,,,,,,,,,,,,Spleen,3.5071999101570297,4.5031855219351336
,,O19.B001750.3_38_F.1.1,B cell,CL:0000236,3,,3_38_F,F,B001750,,,,,,,,,,,,Spleen,-12.90275947271802,27.369917308675987
,,O19.MAA000508.3_9_M.1.1,B cell,CL:0000236,0,,3_9_M,M,MAA000508,,,,,,,,,,,,Spleen,1.219034404563427,7.048171766349372
,,O19.MAA000559.3_8_M.1.1,B cell,CL:0000236,2,,3_8_M,M,MAA000559,,,,,,,,,,,,Spleen,16.699080984683587,-14.59710759081809
,,O19.MAA000776.3_10_M.1.1,B cell,CL:0000236,0,,3_10_M,M,MAA000776,,,,,,,,,,,,Spleen,11.703894993266914,15.976610188490907
,,O19.MAA000779.3_11_M.1.1,B cell,CL:0000236,3,,3_11_M,M,MAA000779,,,,,,,,,,,,Spleen,-10.32766285085659,13.393788290003586
,,O2.B000971.3_39_F.1.1,T cell,CL:0000084,1,,3_39_F,F,B000971,,,,,,,,,,,,Spleen,-25.454075833463172,-3.050358118311024
,,O2.B001750.3_38_F.1.1,T cell,CL:0000084,1,,3_38_F,F,B001750,,,,,,,,,,,,Spleen,-28.28163319786951,-7.1262266342440315
,,O2.MAA000508.3_9_M.1.1,T cell,CL:0000084,1,,3_9_M,M,MAA000508,,,,,,,,,,,,Spleen,-36.196557769993575,-8.17617074147926
,,O2.MAA000559.3_8_M.1.1,B cell,CL:0000236,0,,3_8_M,M,MAA000559,,,,,,,,,,,,Spleen,8.52549563477679,7.909793865584032
,,O2.MAA000776.3_10_M.1.1,B cell,CL:0000236,0,,3_10_M,M,MAA000776,,,,,,,,,,,,Spleen,27.24014116422189,-2.9243806527182143
,,O2.MAA000779.3_11_M.1.1,B cell,CL:0000236,3,,3_11_M,M,MAA000779,,,,,,,,,,,,Spleen,-13.93996371982374,23.976098080527148
,,O20.B000971.3_39_F.1.1,B cell,CL:0000236,0,,3_39_F,F,B000971,,,,,,,,,,,,Spleen,3.4076430487009515,26.975337800813108
,,O20.B001750.3_38_F.1.1,B cell,CL:0000236,0,,3_38_F,F,B001750,,,,,,,,,,,,Spleen,24.226606879586353,12.781691661264208
,,O20.MAA000508.3_9_M.1.1,B cell,CL:0000236,2,,3_9_M,M,MAA000508,,,,,,,,,,,,Spleen,11.036801482385371,-11.429116938800563
,,O20.MAA000559.3_8_M.1.1,B cell,CL:0000236,0,,3_8_M,M,MAA000559,,,,,,,,,,,,Spleen,6.856210526045508,23.304516350474
,,O20.MAA000776.3_10_M.1.1,B cell,CL:0000236,0,,3_10_M,M,MAA000776,,,,,,,,,,,,Spleen,13.792722982526586,26.20836681362425
,,O20.MAA000779.3_11_M.1.1,B cell,CL:0000236,3,,3_11_M,M,MAA000779,,,,,,,,,,,,Spleen,-14.5882500229725,21.14403001443597
,,O21.B000971.3_39_F.1.1,macrophage,CL:0000235,5,,3_39_F,F,B000971,,,,,,,,,,,,Spleen,-18.86203505071304,-42.902345767403226
,,O21.B001750.3_38_F.1.1,B cell,CL:0000236,2,,3_38_F,F,B001750,,,,,,,,,,,,Spleen,18.590883861607907,-15.310220428253109
,,O21.MAA000508.3_9_M.1.1,B cell,CL:0000236,0,,3_9_M,M,MAA000508,,,,,,,,,,,,Spleen,14.176687259578918,8.165742034704177
,,O21.MAA000559.3_8_M.1.1,B cell,CL:0000236,0,,3_8_M,M,MAA000559,,,,,,,,,,,,Spleen,19.918640654002733,11.074326639605506
,,O21.MAA000776.3_10_M.1.1,B cell,CL:0000236,0,,3_10_M,M,MAA000776,,,,,,,,,,,,Spleen,12.621414780101626,-1.956958100578136
,,O21.MAA000779.3_11_M.1.1,B cell,CL:0000236,3,,3_11_M,M,MAA000779,,,,,,,,,,,,Spleen,-14.860468110475374,6.727057508288912
,,O22.B000971.3_39_F.1.1,B cell,CL:0000236,3,,3_39_F,F,B000971,,,,,,,,,,,,Spleen,-14.80873151878248,6.842250915128695
,,O22.B001750.3_38_F.1.1,macrophage,CL:0000235,5,,3_38_F,F,B001750,,,,,,,,,,,,Spleen,-17.42636065578833,-42.12993109620784
,,O22.MAA000508.3_9_M.1.1,B cell,CL:0000236,0,,3_9_M,M,MAA000508,,,,,,,,,,,,Spleen,0.6095802279099467,12.37619322632237
,,O22.MAA000559.3_8_M.1.1,B cell,CL:0000236,0,,3_8_M,M,MAA000559,,,,,,,,,,,,Spleen,26.573392847377058,-3.2798982986436904
,,O22.MAA000776.3_10_M.1.1,B cell,CL:0000236,0,,3_10_M,M,MAA000776,,,,,,,,,,,,Spleen,18.586847843577058,16.15650570645957
,,O22.MAA000779.3_11_M.1.1,T cell,CL:0000084,1,,3_11_M,M,MAA000779,,,,,,,,,,,,Spleen,-39.09064377573651,2.7557381602163926
,,O3.B000971.3_39_F.1.1,B cell,CL:0000236,0,,3_39_F,F,B000971,,,,,,,,,,,,Spleen,19.37821564758591,-8.80356127940947
,,O3.B001750.3_38_F.1.1,B cell,CL:0000236,0,,3_38_F,F,B001750,,,,,,,,,,,,Spleen,27.759677649959716,-3.5055256269900954
,,O3.MAA000508.3_9_M.1.1,B cell,CL:0000236,0,,3_9_M,M,MAA000508,,,,,,,,,,,,Spleen,5.358188842369209,12.832227969313331
,,O3.MAA000559.3_8_M.1.1,B cell,CL:0000236,2,,3_8_M,M,MAA000559,,,,,,,,,,,,Spleen,-3.63153179880584,-30.425989466877123
,,O3.MAA000779.3_11_M.1.1,T cell,CL:0000084,1,,3_11_M,M,MAA000779,,,,,,,,,,,,Spleen,-39.536080789359495,2.6761845494136787
,,O4.B000971.3_39_F.1.1,B cell,CL:0000236,0,,3_39_F,F,B000971,,,,,,,,,,,,Spleen,4.639846572601273,14.243651409619543
,,O4.B001750.3_38_F.1.1,T cell,CL:0000084,1,,3_38_F,F,B001750,,,,,,,,,,,,Spleen,-16.32981611115876,-20.88620135131364
,,O4.MAA000559.3_8_M.1.1,T cell,CL:0000084,1,,3_8_M,M,MAA000559,,,,,,,,,,,,Spleen,-30.147055737475505,-12.550939234890125
,,O4.MAA000779.3_11_M.1.1,B cell,CL:0000236,3,,3_11_M,M,MAA000779,,,,,,,,,,,,Spleen,-16.002643654732996,10.700613017420787
